ZoneName	Time	SystemTime	Frame	Velocity	LaneName	LanePos	LaneIndex	LaneCount	LaneHeading	SpeedLimit	Steer	Accel	Brake	Gear	Horn	SubjectEngineRPM	SubjectHeading	SubjectPitch	SubjectRoll	SubjectX	SubjectY	SubjectZ	Signal	LatAccel	LongAccel	Collision	CollisionAngle	CollisionVelocity	VehAhead	HeadwayTime	HeadwayDist	TTC	TerrainType	CultureType	Slip	DigitalInputs	DigitalInputs2	ActiveTrigger	EntityName	DistToEntity	TimeToEntity	EntityVelocity	EntityAccel	EntityHeading	EntityX	EntityY	EntityZ	GrabData	
Unknown	158.98651	10/22/0116 07:49.59	00009539	11.896	Inter682t1-1	0.057	1	1	180.000	11.111	-6.0	0.000	0.000	D	F	1168.9	180.401	0.193	0.031	696.346	677.149	0.029	-	-0.199	-0.527	-	-	-	Ambient328	2.011	23.918	13.154	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	159.98653	10/22/0116 07:50.00	00009599	11.128	Inter682t1-1	0.028	1	1	180.000	11.111	-0.4	0.000	0.000	D	F	1093.3	179.565	0.193	0.005	696.376	665.678	0.029	-	-0.031	-0.514	-	-	-	Ambient328	2.024	22.519	21.427	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	160.98656	10/22/0116 07:50.01	00009659	10.617	Inter682t1-1	-0.047	1	1	180.000	11.111	1.5	0.000	0.000	D	F	1043.2	179.701	0.194	-0.007	696.451	654.807	0.029	-	0.055	-0.508	-	-	-	Ambient328	2.046	21.718	40.266	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	161.98657	10/22/0116 07:50.02	00009719	10.112	Inter682t1-1	-0.073	1	1	180.000	11.111	1.3	0.000	0.000	D	F	993.7	179.977	0.195	-0.001	696.477	644.443	0.029	-	0.044	-0.501	-	-	-	Ambient328	2.119	21.425	616.218	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	162.98659	10/22/0116 07:50.03	00009779	9.614	Inter682t1-1	-0.060	1	1	180.000	11.111	-0.3	0.000	0.000	D	F	944.8	180.147	0.195	0.003	696.464	634.580	0.029	-	-0.004	-0.495	-	-	-	Ambient328	2.202	21.174	22.305	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	163.98662	10/22/0116 07:50.04	00009839	9.123	Inter682t1-1	-0.023	1	1	180.000	11.111	0.9	0.000	0.000	D	F	896.5	180.311	0.196	-0.004	696.427	625.211	0.029	-	0.027	-0.488	-	-	-	Ambient328	2.228	20.330	63.714	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	164.98663	10/22/0116 07:50.05	00009899	8.639	Inter682t1-1	0.041	1	1	180.000	11.111	0.4	0.000	0.000	D	F	849.0	180.480	0.196	0.001	696.363	616.331	0.029	-	0.012	-0.482	-	-	-	Ambient328	2.368	20.457	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	165.98665	10/22/0116 07:50.06	00009959	8.160	Inter682t1-1	0.106	1	1	180.000	11.111	-8.2	0.000	0.000	D	F	802.0	180.246	0.196	0.026	696.298	607.932	0.029	L	-0.192	-0.477	-	-	-	Ambient328	2.619	21.368	-	PAVEMENT_GENERAL	Urban	F	1011101000100001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	166.98668	10/22/0116 07:50.07	00010019	8.320	Inter688t25-1	-0.041	1	1	180.000	11.111	-5.0	0.182	0.000	D	F	1564.6	178.161	0.213	-0.003	696.437	599.834	0.022	L	-0.094	0.871	-	-	-	Ambient328	2.802	23.312	-	PAVEMENT_GENERAL	Urban	F	1111101000100001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	167.98669	10/22/0116 07:50.08	00010079	9.479	Inter688t25-1	-0.385	1	1	180.000	11.111	-13.8	0.233	0.000	D	F	1933.1	177.445	0.215	0.047	696.781	590.984	0.020	-	-0.346	1.322	-	-	-	Ambient328	2.660	25.211	-	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
